Neighborhood,Date,Connections,Key
 City Hall Truck,05/05/2014,0,177
 City Hall Truck,05/06/2014,0,178
 City Hall Truck,05/07/2014,0,179
 City Hall Truck,05/08/2014,0,180
 City Hall Truck,05/09/2014,0,181
 City Hall Truck,05/10/2014,0,182
 City Hall Truck,05/11/2014,0,183
 City Hall Truck,05/12/2014,0,184
 City Hall Truck,05/13/2014,0,185
 City Hall Truck,05/14/2014,0,186
 City Hall Truck,05/15/2014,0,187
 City Hall Truck,05/16/2014,0,188
 City Hall Truck,05/17/2014,0,189
 City Hall Truck,05/18/2014,0,190
 City Hall Truck,05/19/2014,0,191
 City Hall Truck,05/20/2014,0,192
 City Hall Truck,05/21/2014,0,193
 City Hall Truck,05/22/2014,0,194
 City Hall Truck,05/23/2014,0,195
 City Hall Truck,05/24/2014,0,196
 City Hall Truck,05/25/2014,0,197
 City Hall Truck,05/26/2014,0,198
 City Hall Truck,05/27/2014,0,199
 City Hall Truck,05/28/2014,0,200
 City Hall Truck,05/29/2014,0,201
 City Hall Truck,05/30/2014,0,202
 City Hall Truck,05/31/2014,0,203
 City Hall Truck,06/01/2014,0,204
 City Hall Truck,06/02/2014,0,205
 City Hall Truck,06/03/2014,0,206
 City Hall Truck,06/04/2014,0,207
 City Hall Truck,06/05/2014,0,208
 City Hall Truck,06/06/2014,0,209
 Roxbury,09/17/2014,1474,210
 Roxbury,09/18/2014,1476,211
 Roxbury,09/19/2014,1599,212
 Roxbury,09/20/2014,1282,213
 Roxbury,09/21/2014,1103,214
 Roxbury,09/22/2014,1456,215
 Roxbury,09/23/2014,1499,216
 Roxbury,09/24/2014,1582,217
 Roxbury,09/25/2014,1446,218
 Roxbury,09/26/2014,1686,219
 Roxbury,09/27/2014,1347,220
 Roxbury,09/28/2014,1322,221
 Roxbury,09/29/2014,1558,222
 Roxbury,09/30/2014,1432,223
 Roxbury,10/01/2014,1440,224
 Roxbury,10/02/2014,1456,225
 Roxbury,10/03/2014,1554,226
 Roxbury,10/04/2014,1175,227
 Roxbury,10/05/2014,1044,228
 Roxbury,10/06/2014,1420,229
 Roxbury,10/07/2014,1386,230
 Roxbury,10/08/2014,1187,231
 Roxbury,10/09/2014,1560,232
 Roxbury,10/10/2014,1510,233
 Roxbury,10/11/2014,1117,234
 Roxbury,10/12/2014,975,235
 Roxbury,10/13/2014,1021,236
 Roxbury,10/14/2014,1388,237
 Roxbury,10/15/2014,1420,238
 Roxbury,10/16/2014,1396,239
 Roxbury,10/17/2014,1552,240
 Roxbury,10/18/2014,1187,241
 Roxbury,10/19/2014,1043,242
 Roxbury,10/20/2014,1390,243
 Roxbury,10/21/2014,1378,244
 Roxbury,10/22/2014,1303,245
 Roxbury,10/23/2014,1322,246
 Roxbury,10/24/2014,1520,247
 Roxbury,10/25/2014,1269,248
 Roxbury,10/26/2014,1133,249
 Roslindale,04/28/2014,0,250
 Roslindale,04/29/2014,0,251
 Roslindale,04/30/2014,0,252
 Roslindale,05/01/2014,0,253
 Roslindale,05/02/2014,0,254
 Roslindale,05/03/2014,0,255
 Roslindale,05/04/2014,0,256
 Roslindale,05/05/2014,0,257
 Roslindale,05/06/2014,0,258
 Roslindale,05/07/2014,0,259
 Roslindale,05/08/2014,48,260
 Roslindale,05/09/2014,110,261
 Roslindale,05/10/2014,119,262
 Roslindale,05/11/2014,111,263
 Roslindale,05/12/2014,146,264
 Roslindale,05/13/2014,160,265
 Roslindale,05/14/2014,160,266
 Roslindale,05/15/2014,188,267
 Roslindale,05/16/2014,190,268
 Roslindale,05/17/2014,133,269
 Roslindale,05/18/2014,105,270
 Roslindale,05/19/2014,175,271
 Roslindale,05/20/2014,185,272
 Roslindale,05/21/2014,213,273
 Roslindale,05/22/2014,230,274
 Roslindale,05/23/2014,226,275
 Roslindale,05/24/2014,197,276
 Roslindale,05/25/2014,168,277
 Roslindale,05/26/2014,136,278
 Roslindale,05/27/2014,235,279
 Roslindale,05/28/2014,255,280
 Roslindale,05/29/2014,265,281
 Roslindale,05/30/2014,262,282
 Roslindale,05/31/2014,222,283
 Roslindale,06/01/2014,190,284
 Roslindale,06/02/2014,288,285
 Roslindale,06/03/2014,292,286
 Roslindale,06/04/2014,272,287
 Roslindale,06/05/2014,283,288
 Roslindale,06/06/2014,330,289
 Roslindale,06/07/2014,233,290
 Roslindale,06/08/2014,225,291
 Roslindale,06/09/2014,329,292
 Roslindale,06/10/2014,330,293
 Roslindale,06/11/2014,331,294
 Roslindale,06/12/2014,321,295
 Roslindale,06/13/2014,354,296
 Roslindale,06/14/2014,264,297
 Roslindale,06/15/2014,236,298
 Roslindale,06/16/2014,363,299
 Roslindale,06/17/2014,244,300
 Roslindale,06/18/2014,355,301
 Roslindale,06/19/2014,369,302
 Roslindale,06/20/2014,387,303
 Roslindale,06/21/2014,300,304
 Roslindale,06/22/2014,233,305
 Roslindale,06/23/2014,305,306
 Roslindale,06/24/2014,353,307
 Roslindale,06/25/2014,348,308
 Roslindale,06/26/2014,340,309
 Roslindale,06/27/2014,331,310
 Roslindale,06/28/2014,299,311
 Roslindale,06/29/2014,246,312
 Roslindale,06/30/2014,322,313
 Roslindale,07/01/2014,369,314
 Roslindale,07/02/2014,327,315
 Roslindale,07/03/2014,367,316
 Roslindale,07/04/2014,186,317
 Roslindale,07/05/2014,306,318
 Roslindale,07/06/2014,309,319
 Roslindale,07/07/2014,378,320
 Roslindale,07/08/2014,434,321
 Roslindale,07/09/2014,366,322
 Roslindale,07/10/2014,411,323
 Roslindale,07/11/2014,402,324
 Roslindale,07/12/2014,340,325
 Roslindale,07/13/2014,264,326
 Roslindale,07/14/2014,386,327
 Roslindale,07/15/2014,453,328
 Roslindale,07/16/2014,395,329
 Roslindale,07/17/2014,439,330
 Roslindale,07/18/2014,466,331
 Roslindale,07/19/2014,379,332
 Roslindale,07/20/2014,306,333
 Roslindale,07/21/2014,473,334
 Roslindale,07/22/2014,470,335
 Roslindale,07/23/2014,463,336
 Roslindale,07/24/2014,459,337
 Roslindale,07/25/2014,455,338
 Roslindale,07/26/2014,353,339
 Roslindale,07/27/2014,258,340
 Roslindale,07/28/2014,395,341
 Roslindale,07/29/2014,443,342
 Roslindale,07/30/2014,440,343
 Roslindale,07/31/2014,420,344
 Roslindale,08/01/2014,429,345
 Roslindale,08/02/2014,301,346
 Roslindale,08/03/2014,270,347
 Roslindale,08/04/2014,411,348
 Roslindale,08/05/2014,412,349
 Roslindale,08/06/2014,417,350
 Roslindale,08/07/2014,456,351
 Roslindale,08/08/2014,456,352
 Roslindale,08/09/2014,323,353
 Roslindale,08/10/2014,269,354
 Roslindale,08/11/2014,417,355
 Roslindale,08/12/2014,439,356
 Roslindale,08/13/2014,385,357
 Roslindale,08/14/2014,451,358
 Roslindale,08/15/2014,493,359
 Roslindale,08/16/2014,365,360
 Roslindale,08/17/2014,279,361
 Roslindale,08/18/2014,429,362
 Roslindale,08/19/2014,456,363
 Roslindale,08/20/2014,413,364
 Roslindale,08/21/2014,433,365
 Roslindale,08/22/2014,446,366
 Roslindale,08/23/2014,343,367
 Roslindale,08/24/2014,284,368
 Roslindale,08/25/2014,299,369
 Roslindale,08/26/2014,179,370
 Roslindale,08/27/2014,408,371
 Roslindale,08/28/2014,422,372
 Roslindale,08/29/2014,460,373
 Roslindale,08/30/2014,379,374
 Roslindale,08/31/2014,326,375
 Roslindale,09/01/2014,301,376
 Roslindale,09/02/2014,425,377
 Roslindale,09/03/2014,426,378
 Roslindale,09/04/2014,428,379
 Roslindale,09/05/2014,453,380
 Roslindale,09/06/2014,378,381
 Roslindale,09/07/2014,314,382
 Roslindale,09/08/2014,439,383
 Roslindale,09/09/2014,446,384
 Roslindale,09/10/2014,466,385
 Roslindale,09/11/2014,474,386
 Roslindale,09/12/2014,486,387
 Roslindale,09/13/2014,348,388
 Roslindale,09/14/2014,301,389
 Roslindale,09/15/2014,464,390
 Roslindale,09/16/2014,451,391
 Roslindale,09/17/2014,471,392
 Roslindale,09/18/2014,464,393
 Roslindale,09/19/2014,465,394
 Roslindale,09/20/2014,377,395
 Roslindale,09/21/2014,280,396
 Roslindale,09/22/2014,450,397
 Roslindale,09/23/2014,444,398
 Roslindale,09/24/2014,468,399
 Roslindale,09/25/2014,471,400
 Roslindale,09/26/2014,486,401
 Roslindale,09/27/2014,404,402
 Roslindale,09/28/2014,296,403
 Roslindale,09/29/2014,459,404
 Roslindale,09/30/2014,465,405
 Roslindale,10/01/2014,464,406
 Roslindale,10/02/2014,449,407
 Roslindale,10/03/2014,475,408
 Roslindale,10/04/2014,368,409
 Roslindale,10/05/2014,368,410
 Roslindale,10/06/2014,440,411
 Roslindale,10/07/2014,459,412
 Roslindale,10/08/2014,374,413
 Roslindale,10/09/2014,476,414
 Roslindale,10/10/2014,466,415
 Roslindale,10/11/2014,352,416
 Roslindale,10/12/2014,295,417
 Roslindale,10/13/2014,292,418
 Roslindale,10/14/2014,404,419
 Roslindale,10/15/2014,490,420
 Roslindale,10/16/2014,411,421
 Roslindale,10/17/2014,489,422
 Roslindale,10/18/2014,389,423
 Roslindale,10/19/2014,281,424
 Roslindale,10/20/2014,424,425
 Roslindale,10/21/2014,454,426
 Roslindale,10/22/2014,409,427
 Roslindale,10/23/2014,420,428
 Roslindale,10/24/2014,527,429
 Roslindale,10/25/2014,418,430
 Roslindale,10/26/2014,286,431
 Downtown Boston,04/28/2014,0,432
 Downtown Boston,04/29/2014,0,433
 Parks,04/28/2014,0,434
 Parks,04/29/2014,0,435
 Parks,04/30/2014,0,436
 Parks,05/01/2014,0,437
 Parks,05/02/2014,0,438
 Parks,05/03/2014,0,439
 Parks,05/04/2014,0,440
 Parks,05/05/2014,0,441
 Parks,05/06/2014,0,442
 Parks,05/07/2014,43,443
 Parks,05/08/2014,40,444
 Parks,05/09/2014,44,445
 Parks,05/10/2014,46,446
 Parks,05/11/2014,53,447
 Parks,05/12/2014,48,448
